query_id,query_text,k,certified,minimum_balanced_depth,dual_seen_fraction,judged_positive_retrieved,new_judged_positive_since_previous_k,judged_recall_at_k,judged_ndcg_at_k,block_reason,block_position,anonymous_upper,candidate_point_id,candidate_external_id,candidate_dense_rank,candidate_sparse_rank,candidate_lower,candidate_upper,competitor_point_id,competitor_external_id,competitor_dense_rank,competitor_sparse_rank,competitor_lower,competitor_upper,candidate_qrel,candidate_text,competitor_qrel,competitor_text
855410,what is theraderm used for,5,1,8,1.0,4,4,1.0,1.0,,,,,,,,,,,,,,,,,,,
855410,what is theraderm used for,10,0,,0.5,4,0,1.0,1.0,seen-competitor,7,0.0003952569095417857,3696b95f-31f9-533d-addb-4b7fbc6fcb71,3723411,6,>5000,0.015384615398943424,0.015582243911921978,501a631d-e450-51e7-b09c-36519ec983b8,1147809,>5000,6,0.015384615398943424,0.015582243911921978,unjudged,"Thermi-Gen™ is a non-surgical procedure that uses Radiofrequency (RF) energy to stimulate collagen for tightening and smoothing the skin of the face and neck. This procedure provides tighter, smoother, more youthful looking skin for all skin types (safe for light and dark complexions).hermi-Gen™ technology is more effective because it has an internal probe that enables the doctor to apply the treating energy BELOW the skin surface – directly to the targeted collagen layer. Another unique feature of Thermi-Gen™ is its continuous temperature monitor located on the internal probe.",0,"what is: tagamet, used for; and what is ... 58. what is: zantac, used for; and what is ... 59. what is: pepcid, used for; and what is ... 60. what is: bi-citra, used for; and what ... 61. what is: glucagon, used for; and what ..."
855410,what is theraderm used for,20,0,,0.25,4,0,1.0,1.0,seen-competitor,7,0.0003952569095417857,3696b95f-31f9-533d-addb-4b7fbc6fcb71,3723411,6,>5000,0.015384615398943424,0.015582243911921978,501a631d-e450-51e7-b09c-36519ec983b8,1147809,>5000,6,0.015384615398943424,0.015582243911921978,unjudged,"Thermi-Gen™ is a non-surgical procedure that uses Radiofrequency (RF) energy to stimulate collagen for tightening and smoothing the skin of the face and neck. This procedure provides tighter, smoother, more youthful looking skin for all skin types (safe for light and dark complexions).hermi-Gen™ technology is more effective because it has an internal probe that enables the doctor to apply the treating energy BELOW the skin surface – directly to the targeted collagen layer. Another unique feature of Thermi-Gen™ is its continuous temperature monitor located on the internal probe.",0,"what is: tagamet, used for; and what is ... 58. what is: zantac, used for; and what is ... 59. what is: pepcid, used for; and what is ... 60. what is: bi-citra, used for; and what ... 61. what is: glucagon, used for; and what ..."
855410,what is theraderm used for,50,0,,0.1,4,0,1.0,1.0,seen-competitor,7,0.0003952569095417857,3696b95f-31f9-533d-addb-4b7fbc6fcb71,3723411,6,>5000,0.015384615398943424,0.015582243911921978,501a631d-e450-51e7-b09c-36519ec983b8,1147809,>5000,6,0.015384615398943424,0.015582243911921978,unjudged,"Thermi-Gen™ is a non-surgical procedure that uses Radiofrequency (RF) energy to stimulate collagen for tightening and smoothing the skin of the face and neck. This procedure provides tighter, smoother, more youthful looking skin for all skin types (safe for light and dark complexions).hermi-Gen™ technology is more effective because it has an internal probe that enables the doctor to apply the treating energy BELOW the skin surface – directly to the targeted collagen layer. Another unique feature of Thermi-Gen™ is its continuous temperature monitor located on the internal probe.",0,"what is: tagamet, used for; and what is ... 58. what is: zantac, used for; and what is ... 59. what is: pepcid, used for; and what is ... 60. what is: bi-citra, used for; and what ... 61. what is: glucagon, used for; and what ..."
855410,what is theraderm used for,100,0,,0.05,4,0,1.0,1.0,seen-competitor,7,0.0003952569095417857,3696b95f-31f9-533d-addb-4b7fbc6fcb71,3723411,6,>5000,0.015384615398943424,0.015582243911921978,501a631d-e450-51e7-b09c-36519ec983b8,1147809,>5000,6,0.015384615398943424,0.015582243911921978,unjudged,"Thermi-Gen™ is a non-surgical procedure that uses Radiofrequency (RF) energy to stimulate collagen for tightening and smoothing the skin of the face and neck. This procedure provides tighter, smoother, more youthful looking skin for all skin types (safe for light and dark complexions).hermi-Gen™ technology is more effective because it has an internal probe that enables the doctor to apply the treating energy BELOW the skin surface – directly to the targeted collagen layer. Another unique feature of Thermi-Gen™ is its continuous temperature monitor located on the internal probe.",0,"what is: tagamet, used for; and what is ... 58. what is: zantac, used for; and what is ... 59. what is: pepcid, used for; and what is ... 60. what is: bi-citra, used for; and what ... 61. what is: glucagon, used for; and what ..."
443396,lps laws definition,5,1,129,1.0,1,1,0.010638297872340425,0.3391602052736161,,,,,,,,,,,,,,,,,,,
443396,lps laws definition,10,1,697,1.0,1,0,0.010638297872340425,0.2200917662980802,,,,,,,,,,,,,,,,,,,
443396,lps laws definition,20,0,,0.75,2,1,0.02127659574468085,0.19832400592597568,seen-competitor,16,0.0003952569095417857,121cf505-291c-50c6-a640-7affb406cc1a,2638083,3,>5000,0.016129031777381897,0.01632666029036045,f0914cef-2125-5686-8f0f-4448a2f3ebbe,8079046,>5000,3,0.016129031777381897,0.01632666029036045,unjudged,"Legal outsourcing. Legal outsourcing, also known as legal process outsourcing (LPO) refers to the practice of a law firm or corporation obtaining legal support services from an outside law firm or legal support services company (LPO provider).",0,"We've got 73 definitions for LPS » What does LPS stand for? What does LPS mean? This page is about the various possible meanings of the acronym, abbreviation, shorthand or slang term: LPS."
443396,lps laws definition,50,0,,0.46,3,1,0.031914893617021274,0.1638636758462615,seen-competitor,16,0.0003952569095417857,121cf505-291c-50c6-a640-7affb406cc1a,2638083,3,>5000,0.016129031777381897,0.01632666029036045,f0914cef-2125-5686-8f0f-4448a2f3ebbe,8079046,>5000,3,0.016129031777381897,0.01632666029036045,unjudged,"Legal outsourcing. Legal outsourcing, also known as legal process outsourcing (LPO) refers to the practice of a law firm or corporation obtaining legal support services from an outside law firm or legal support services company (LPO provider).",0,"We've got 73 definitions for LPS » What does LPS stand for? What does LPS mean? This page is about the various possible meanings of the acronym, abbreviation, shorthand or slang term: LPS."
443396,lps laws definition,100,0,,0.33,5,2,0.05319148936170213,0.15580779128744507,seen-competitor,16,0.0003952569095417857,121cf505-291c-50c6-a640-7affb406cc1a,2638083,3,>5000,0.016129031777381897,0.01632666029036045,f0914cef-2125-5686-8f0f-4448a2f3ebbe,8079046,>5000,3,0.016129031777381897,0.01632666029036045,unjudged,"Legal outsourcing. Legal outsourcing, also known as legal process outsourcing (LPO) refers to the practice of a law firm or corporation obtaining legal support services from an outside law firm or legal support services company (LPO provider).",0,"We've got 73 definitions for LPS » What does LPS stand for? What does LPS mean? This page is about the various possible meanings of the acronym, abbreviation, shorthand or slang term: LPS."
