group,query_id,fold
msmarco-passage-trec-dl-2019,1037798,2
msmarco-passage-trec-dl-2019,104861,0
msmarco-passage-trec-dl-2019,1063750,4
msmarco-passage-trec-dl-2019,1103812,4
msmarco-passage-trec-dl-2019,1106007,4
msmarco-passage-trec-dl-2019,1110199,2
msmarco-passage-trec-dl-2019,1112341,2
msmarco-passage-trec-dl-2019,1113437,4
msmarco-passage-trec-dl-2019,1114646,0
msmarco-passage-trec-dl-2019,1114819,4
msmarco-passage-trec-dl-2019,1115776,1
msmarco-passage-trec-dl-2019,1117099,1
msmarco-passage-trec-dl-2019,1121402,3
msmarco-passage-trec-dl-2019,1121709,1
msmarco-passage-trec-dl-2019,1124210,2
msmarco-passage-trec-dl-2019,1129237,1
msmarco-passage-trec-dl-2019,1133167,4
msmarco-passage-trec-dl-2019,130510,2
msmarco-passage-trec-dl-2019,131843,3
msmarco-passage-trec-dl-2019,146187,3
msmarco-passage-trec-dl-2019,148538,0
msmarco-passage-trec-dl-2019,156493,0
msmarco-passage-trec-dl-2019,168216,3
msmarco-passage-trec-dl-2019,182539,0
msmarco-passage-trec-dl-2019,183378,3
msmarco-passage-trec-dl-2019,19335,3
msmarco-passage-trec-dl-2019,207786,3
msmarco-passage-trec-dl-2019,264014,2
msmarco-passage-trec-dl-2019,359349,4
msmarco-passage-trec-dl-2019,405717,3
msmarco-passage-trec-dl-2019,443396,0
msmarco-passage-trec-dl-2019,451602,1
msmarco-passage-trec-dl-2019,47923,4
msmarco-passage-trec-dl-2019,489204,2
msmarco-passage-trec-dl-2019,490595,0
msmarco-passage-trec-dl-2019,527433,2
msmarco-passage-trec-dl-2019,573724,1
msmarco-passage-trec-dl-2019,833860,0
msmarco-passage-trec-dl-2019,855410,1
msmarco-passage-trec-dl-2019,87181,2
msmarco-passage-trec-dl-2019,87452,1
msmarco-passage-trec-dl-2019,915593,1
msmarco-passage-trec-dl-2019,962179,0
msmarco-passage-trec-dl-2020,1030303,0
msmarco-passage-trec-dl-2020,1037496,1
msmarco-passage-trec-dl-2020,1043135,3
msmarco-passage-trec-dl-2020,1051399,3
msmarco-passage-trec-dl-2020,1064670,1
msmarco-passage-trec-dl-2020,1071750,0
msmarco-passage-trec-dl-2020,1105792,0
msmarco-passage-trec-dl-2020,1106979,1
msmarco-passage-trec-dl-2020,1108651,0
msmarco-passage-trec-dl-2020,1109707,0
msmarco-passage-trec-dl-2020,1110678,4
msmarco-passage-trec-dl-2020,1113256,1
msmarco-passage-trec-dl-2020,1115210,4
msmarco-passage-trec-dl-2020,1116380,1
msmarco-passage-trec-dl-2020,1121353,2
msmarco-passage-trec-dl-2020,1122767,3
msmarco-passage-trec-dl-2020,1127540,2
