dataset,query_id,old_top20_equal,old_top100_equal,dense_prefix_mismatches,sparse_prefix_mismatches
nfcorpus,PLAIN-1008,True,True,0,0
nfcorpus,PLAIN-1018,True,True,0,0
nfcorpus,PLAIN-102,True,True,0,0
nfcorpus,PLAIN-1028,True,True,0,0
nfcorpus,PLAIN-1039,True,True,0,0
nfcorpus,PLAIN-1050,True,True,0,0
nfcorpus,PLAIN-1066,True,True,0,0
nfcorpus,PLAIN-1088,True,True,0,0
nfcorpus,PLAIN-1098,True,True,0,0
nfcorpus,PLAIN-1109,True,True,0,0
nfcorpus,PLAIN-1119,True,True,0,0
nfcorpus,PLAIN-112,True,True,0,0
nfcorpus,PLAIN-1130,True,True,0,0
nfcorpus,PLAIN-1141,True,True,0,0
nfcorpus,PLAIN-1151,True,True,0,0
nfcorpus,PLAIN-1161,True,True,0,0
nfcorpus,PLAIN-1172,True,True,0,0
nfcorpus,PLAIN-1183,True,True,0,0
nfcorpus,PLAIN-1193,True,True,0,0
nfcorpus,PLAIN-12,True,True,0,0
nfcorpus,PLAIN-1203,True,True,0,0
nfcorpus,PLAIN-1214,True,True,0,0
nfcorpus,PLAIN-1225,True,True,0,0
nfcorpus,PLAIN-123,True,True,0,0
nfcorpus,PLAIN-1236,True,True,0,0
nfcorpus,PLAIN-1249,True,True,0,0
nfcorpus,PLAIN-1262,True,True,0,0
nfcorpus,PLAIN-1275,True,True,0,0
nfcorpus,PLAIN-1288,True,True,0,0
nfcorpus,PLAIN-1299,True,True,0,0
nfcorpus,PLAIN-1309,True,True,0,0
nfcorpus,PLAIN-1320,True,True,0,0
nfcorpus,PLAIN-133,True,True,0,0
nfcorpus,PLAIN-1331,True,True,0,0
nfcorpus,PLAIN-1342,True,True,0,0
nfcorpus,PLAIN-1353,True,True,0,0
nfcorpus,PLAIN-1363,True,True,0,0
nfcorpus,PLAIN-1374,True,True,0,0
nfcorpus,PLAIN-1387,True,True,0,0
nfcorpus,PLAIN-1398,True,True,0,0
nfcorpus,PLAIN-1409,True,True,0,0
nfcorpus,PLAIN-1419,True,True,0,0
nfcorpus,PLAIN-1429,True,True,0,0
nfcorpus,PLAIN-143,True,True,0,0
nfcorpus,PLAIN-1441,True,True,0,0
nfcorpus,PLAIN-1453,True,True,0,0
nfcorpus,PLAIN-1463,True,True,0,0
nfcorpus,PLAIN-1473,True,True,0,0
