dataset,snapshot,query_id,policy,batch,accesses,dense,sparse,before,k
msmarco-passage-trec-dl-2019,0,490595,dibud,1,10,5,5,0,2
msmarco-passage-trec-dl-2019,0,490595,dibud,1,14,8,6,2,3
msmarco-passage-trec-dl-2019,0,490595,dibud,1,26,14,12,3,4
msmarco-passage-trec-dl-2019,0,490595,dibud,1,46,24,22,4,5
msmarco-passage-trec-dl-2019,0,490595,dibud,1,52,27,25,5,6
msmarco-passage-trec-dl-2019,0,490595,dibud,1,74,37,37,6,7
msmarco-passage-trec-dl-2019,0,490595,dibud,1,80,40,40,7,8
msmarco-passage-trec-dl-2019,0,490595,dibud,1,92,46,46,8,9
msmarco-passage-trec-dl-2019,0,490595,dibud,1,95,48,47,9,10
msmarco-passage-trec-dl-2019,0,490595,dibud,1,98,48,50,10,12
msmarco-passage-trec-dl-2019,0,490595,dibud,1,99,48,51,12,13
msmarco-passage-trec-dl-2019,0,490595,dibud,1,100,48,52,13,14
msmarco-passage-trec-dl-2019,0,490595,dibud,1,105,48,57,14,15
msmarco-passage-trec-dl-2019,0,490595,dibud,1,111,48,63,15,16
msmarco-passage-trec-dl-2019,0,490595,dibud,1,112,48,64,16,17
msmarco-passage-trec-dl-2019,0,490595,dibud,1,116,48,68,17,20
msmarco-passage-trec-dl-2019,0,490595,dibud,1,127,51,76,20,21
msmarco-passage-trec-dl-2019,0,490595,dibud,1,128,52,76,21,22
msmarco-passage-trec-dl-2019,0,490595,dibud,1,141,57,84,22,23
msmarco-passage-trec-dl-2019,0,490595,dibud,1,152,61,91,23,24
msmarco-passage-trec-dl-2019,0,490595,dibud,1,164,66,98,24,25
msmarco-passage-trec-dl-2019,0,490595,dibud,1,173,69,104,25,26
msmarco-passage-trec-dl-2019,0,490595,dibud,1,180,72,108,26,27
msmarco-passage-trec-dl-2019,0,490595,dibud,1,188,75,113,27,28
msmarco-passage-trec-dl-2019,0,490595,dibud,1,202,80,122,28,29
msmarco-passage-trec-dl-2019,0,490595,dibud,1,204,81,123,29,30
msmarco-passage-trec-dl-2019,0,490595,dibud,1,215,85,130,30,31
msmarco-passage-trec-dl-2019,0,490595,dibud,1,223,88,135,31,32
msmarco-passage-trec-dl-2019,0,490595,dibud,1,226,89,137,32,33
msmarco-passage-trec-dl-2019,0,490595,dibud,1,234,92,142,33,35
msmarco-passage-trec-dl-2019,0,490595,dibud,1,235,93,142,35,36
msmarco-passage-trec-dl-2019,0,490595,dibud,1,239,97,142,36,37
msmarco-passage-trec-dl-2019,0,490595,dibud,1,246,104,142,37,38
msmarco-passage-trec-dl-2019,0,490595,dibud,1,250,108,142,38,39
msmarco-passage-trec-dl-2019,0,490595,dibud,1,260,118,142,39,40
msmarco-passage-trec-dl-2019,0,490595,dibud,1,291,149,142,40,41
msmarco-passage-trec-dl-2019,0,490595,dibud,1,310,164,146,41,42
msmarco-passage-trec-dl-2019,0,490595,dibud,1,316,168,148,42,43
msmarco-passage-trec-dl-2019,0,490595,dibud,1,329,168,161,43,44
msmarco-passage-trec-dl-2019,0,490595,dibud,1,340,168,172,44,45
msmarco-passage-trec-dl-2019,0,490595,dibud,1,343,168,175,45,47
msmarco-passage-trec-dl-2019,0,490595,dibud,1,357,168,189,47,48
msmarco-passage-trec-dl-2019,0,490595,dibud,1,360,168,192,48,49
msmarco-passage-trec-dl-2019,0,490595,dibud,1,362,168,194,49,50
msmarco-passage-trec-dl-2019,0,490595,dibud,1,364,168,196,50,51
msmarco-passage-trec-dl-2019,0,490595,dibud,1,419,189,230,51,52
msmarco-passage-trec-dl-2019,0,490595,dibud,1,433,195,238,52,53
msmarco-passage-trec-dl-2019,0,490595,dibud,1,442,199,243,53,54
msmarco-passage-trec-dl-2019,0,490595,dibud,1,461,199,262,54,55
msmarco-passage-trec-dl-2019,0,490595,dibud,1,481,199,282,55,56
msmarco-passage-trec-dl-2019,0,490595,dibud,1,489,199,290,56,57
msmarco-passage-trec-dl-2019,0,490595,dibud,1,494,199,295,57,58
msmarco-passage-trec-dl-2019,0,490595,dibud,1,521,199,322,58,59
msmarco-passage-trec-dl-2019,0,490595,dibud,1,586,218,368,59,60
msmarco-passage-trec-dl-2019,0,490595,dibud,1,619,251,368,60,61
msmarco-passage-trec-dl-2019,0,490595,dibud,1,621,253,368,61,62
msmarco-passage-trec-dl-2019,0,490595,dibud,1,634,266,368,62,64
msmarco-passage-trec-dl-2019,0,490595,dibud,1,660,292,368,64,65
msmarco-passage-trec-dl-2019,0,490595,dibud,1,710,342,368,65,66
msmarco-passage-trec-dl-2019,0,490595,dibud,1,746,378,368,66,67
msmarco-passage-trec-dl-2019,0,490595,dibud,1,757,389,368,67,68
msmarco-passage-trec-dl-2019,0,490595,dibud,1,833,465,368,68,69
